ID,Question,Solvable by Policy (Assume Executed)
MOS-02.1,Do you document and make available lists of approved application stores for mobile devices accessing or storing company data and/or company systems? Will you be providing Bayer with a mobile application?,No
MOS-03.1,"Do you have a policy enforcement capability (e.g., XACML) to ensure that only approved applications and those from approved application stores can be loaded onto a mobile device?",No
MOS-04.1,Does your BYOD policy and training clearly state which applications and applications stores are approved for use on BYOD devices?,Yes
MOS-05.1,Do you have a documented mobile device policy in your employee training that clearly defines mobile devices and the accepted usage and requirements for mobile devices?,Yes
MOS-06.1,Do you have a documented list of pre-approved cloud based services that are allowed to be used for use and storage of company business data via a mobile device?,Yes
MOS-07.1,"Do you have a documented application validation process for testing device, operating system, and application compatibility issues?",Yes
MOS-08.1,Do you have a BYOD policy that defines the device(s) and eligibility requirements allowed for BYOD usage? Will a Bayer application and/or data be accessible via a mobile device?,Yes
MOS-09.1,"Do you maintain an inventory of all mobile devices storing and accessing company data which includes device status (e.g., operating system and patch levels, lost or decommissioned, device assignee)?",Yes
MOS-10.1,"Do you have a centralized mobile device management solution deployed to all mobile devices that are permitted to store, transmit, or process company data? If yes, please describe",Yes
MOS-11.1,"Does your mobile device policy require the use of encryption for either the entire device or for data identified as sensitive enforceable through technology controls for all mobile devices? If yes, please describe",Yes
MOS-12.1,"Does your mobile device policy prohibit the circumvention of built-in security controls on mobile devices (e.g., jailbreaking or rooting)? If yes, please describe",Yes
MOS-12.2,"Do you have detective and preventative controls on the device or via a centralized device management system which prohibit the circumvention of built-in security controls? If yes, please describe",No
MOS-13.1,"Does your BYOD policy clearly define the expectation of privacy, requirements for litigation, e-discovery, and legal holds?",Yes
MOS-13.2,Does the BYOD policy clearly state the expectations over the loss of non-company data in case a wipe of the device is required?,Yes
MOS-14.1,"Do you require and enforce via technical controls an automatic lockout screen for BYOD and company owned devices? If yes, please describe",No
MOS-15.1,"Do you manage all changes to mobile device operating systems, patch levels, and applications via your company's change management processes? If yes, please describe",Yes
MOS-16.1,"Do you have password policies for enterprise issued mobile devices and/or BYOD mobile devices? If yes, please describe",Yes
MOS-16.2,"Are your password policies enforced through technical controls (i.e. MDM)? If yes, please describe",Yes
MOS-16.3,Do your password policies prohibit the changing of authentication requirements (i.e. password/PIN length) via a mobile device?,Yes
MOS-17.1,Do you have a policy that requires BYOD users to perform backups of specified corporate data?,Yes
MOS-17.2,Do you have a policy that requires BYOD users to prohibit the usage of unapproved application stores?,Yes
MOS-17.3,Do you have a policy that requires BYOD users to use anti-malware software (where supported)?,Yes
MOS-18.1,Does your IT provide remote wipe or corporate data wipe for all company-accepted BYOD devices?,Yes
MOS-18.2,Does your IT provide remote wipe or corporate data wipe for all company-assigned mobile devices?,Yes
MOS-19.1,Do your mobile devices have the latest available security-related patches installed upon general release by the device manufacturer or carrier?,No
MOS-19.2,Do your mobile devices allow for remote validation to download the latest security patches by company IT personnel?,No
MOS-20.1,Does your BYOD policy clarify the systems and servers allowed for use or access on the BYOD-enabled device?,Yes
MOS-20.2,"Does your BYOD policy specify the user roles that are allowed access via a BYOD-enabled device? Security Incident Management, E-Discovery, & Cloud ForensicsCOLLAPSE",Yes
SEF-01.1,Do you maintain liaisons and points of contact with local authorities in accordance with contracts and appropriate regulations?,No
SEF-02.1,Do you have a documented security incident response plan?,Yes
SEF-02.2,Do you integrate customized tenant requirements into your security incident response plans? Will Bayer be notified within 24 hours of a confirmed incident/breach?,Yes
SEF-02.3,Do you publish a roles and responsibilities document specifying what you vs. your tenants are responsible for during security incidents?,Yes
SEF-02.4,Have you tested your security incident response plans in the last year?,Yes
SEF-03.1,"Are workforce personnel and external business relationships adequately informed of their responsibility, and, if required, consent and/or contractually required to report all information security events in a timely manner? Please describe your SIEM solution and what events are logged and monitored. Are alerts generated when certain thresholds are reached (e.g., changes to audit records (1), unauthorized elevation of privileges (1), take over ownership (1), failed logins (5))?",Yes
SEF-03.2,"Do you have predefined communication channels for workforce personnel and external business partners to report incidents in a timely manner adhering to applicable legal, statutory, or regulatory compliance obligations?",No
SEF-04.1,Does your incident response plan comply with industry standards for legally admissible chain-of-custody management processes and controls?,Yes
SEF-04.2,Does your incident response capability include the use of legally admissible forensic data collection and analysis techniques?,Yes
SEF-04.3,Are you capable of supporting litigation holds (freeze of data from a specific point in time) for a specific tenant without freezing other tenant data?,No
SEF-04.4,Do you enforce and attest to tenant data separation when producing data in response to legal subpoenas?,No
SEF-05.1,"Do you monitor and quantify the types, volumes, and impacts on all information security incidents?",Yes
SEF-05.2,"Will you share statistical information for security incident data with your tenants upon request? Note - This is specifically referring to only incidents that may directly impact/relate to Bayer Supply Chain Management, Transparency, and AccountabilityCOLLAPSE",Yes
STA-01.1,"Do you inspect and account for data quality errors and associated risks, and work with your cloud supply-chain partners to correct them?",No
STA-01.2,"Do you design and implement controls to mitigate and contain data security risks through proper separation of duties, role-based access, and least-privileged access for all personnel within your supply chain? How do you address security with your hosting provider and any other providers?",Yes
STA-02.1,"Do you make security incident information available to all affected customers and providers periodically through electronic methods (e.g., portals)?",No
STA-03.1,Do you collect capacity and use data for all relevant components of your cloud service offering?,No
STA-03.2,Do you provide tenants with capacity planning and use reports?,Yes
STA-04.1,"Do you perform annual internal assessments of conformance and effectiveness of your policies, procedures, and supporting measures and metrics?",Yes
STA-05.1,"Do you select and monitor outsourced providers in compliance with laws in the country where the data is processed, stored, and transmitted?",Yes
STA-05.2,Do you select and monitor outsourced providers to ensure that they are in compliance with applicable legislation?,Yes
STA-05.3,Does legal counsel review all third-party agreements?,Yes
STA-05.4,Do third-party agreements include provision for the security and protection of information and assets?,Yes
STA-05.5,Do you have the capability to recover data for a specific customer in the case of a failure or data loss?,Yes
STA-05.6,Do you have the capability to restrict the storage of customer data to specific countries or geographic locations? Where will Bayer data be stored?,Yes
STA-05.7,Can you provide the physical location/geography of storage of a tenant’s data upon request? Where is the data physically located? Has that been determined yet?,Yes
STA-05.8,Can you provide the physical location/geography of storage of a tenant's data in advance?,Yes
STA-05.9,"Do you allow tenants to define acceptable geographical locations for data routing or resource instantiation? If Bayer requests this, is it a possibility?",No
STA-05.10,Are systems in place to monitor for privacy breaches and notify tenants expeditiously if a privacy event may have impacted their data? How quickly are tenants notified?,Yes
STA-05.11,"Do you allow tenants to opt out of having their data/metadata accessed via inspection technologies? Please describe this process If metadata is collected, what type of data is it and how is it used?",No
STA-05.12,Do you provide the client with a list and copies of all subprocessing agreements and keep this updated?,Yes
STA-06.1,Do you review the risk management and governance processes of partners to account for risks inherited from other members of that partner's supply chain?,Yes
STA-07.1,"Are policies and procedures established, and supporting business processes and technical measures implemented, for maintaining complete, accurate, and relevant agreements (e.g., SLAs) between providers and customers (tenants)?",Yes
STA-07.2,Do you have the ability to measure and address non-conformance of provisions and/or terms across the entire supply chain (upstream/downstream)?,No
STA-07.3,Can you manage service-level conflicts or inconsistencies resulting from disparate supplier relationships?,No
STA-07.4,Do you provide tenants with ongoing visibility and reporting of your operational Service Level Agreement (SLA) performance?,Yes
STA-07.5,"Do you make standards-based information security metrics (CSA, CAMM, etc.) available to your tenants? If yes, please specify which metrics",Yes
STA-07.6,Do you provide customers with ongoing visibility and reporting of your SLA performance?,Yes
STA-07.7,Do your data management policies and procedures address tenant and service level conflicts of interests?,Yes
STA-07.8,Do you review all service level agreements at least annually?,Yes
STA-08.1,Do you assure reasonable information security across your information supply chain by performing an annual review? Do you have any contractual obligations with providers to ensure security requirements are met?,Yes
STA-08.2,Does your annual review include all partners/third-party providers upon which your information supply chain depends?,Yes
STA-09.1,Do you mandate annual information security reviews and audits of your third party providers to ensure that all agreed upon security requirements are met? Please describe this process,No
STA-09.2,Do you have external third party services conduct vulnerability scans and periodic penetration tests on your applications and networks? What tools are used? Can you provide results? Threat and Vulnerability ManagementCOLLAPSE,Yes
TVM-01.1,Do you have anti-malware programs that support or connect to your cloud service offerings installed on all of your IT infrastructure network and systems components? What tools are used?,No
TVM-01.2,"Do you ensure that security threat detection systems using signatures, lists, or behavioral patterns are updated across all infrastructure components as prescribed by industry best practices? What tools are used?",No
TVM-02.1,Do you conduct network-layer vulnerability scans regularly as prescribed by industry best practices?,Yes
TVM-02.2,Do you conduct application-layer vulnerability scans regularly as prescribed by industry best practices?,Yes
TVM-02.3,Do you conduct local operating system-layer vulnerability scans regularly as prescribed by industry best practices?,Yes
TVM-02.4,Will you make the results of vulnerability scans available to tenants at their request?,Yes
TVM-02.5,"Do you have a capability to patch vulnerabilities across all of your computing devices, applications, and systems? Please specify your patching timeframes for Critical/High/Medium findings.",Yes
TVM-02.6,Do you inform customers (tenant) of policies and procedures and identified weaknesses if customer (tenant) data is used as part the service and/or customer (tenant) has some shared responsibility over implementation of control?,Yes
TVM-03.1,"Is mobile code authorized before its installation and use, and the code configuration checked, to ensure that the authorized mobile code operates according to a clearly defined security policy?",Yes
TVM-03.2,Is all unauthorized mobile code prevented from executing?,No
